First Name,Last Name,Gender,Age,Phone,Education,Occupation,Marital Status,Number of Children,Address,Caste,YojanaCardBenefits,YojanaCardBenefitsBankAccountLinked,YojanaCardBenefitsUniqueQRCode,YojanaCardBenefitsBookServiceWithHaqdarshaks,YojanaCardBenefitsSchemeApplicationSupport,YojanaCardBenefitsDigiLockerAccount,YojanaCardBenefitsOffersCashbacks,YojanaCardInterestedInYojanaCardStatus,YojanaCardFeatureBenefitInformation,YojanaCardFeatureBenefitSubsidySchemeInfo,YojanaCardFeatureBenefitAccessToBankingServices,YojanaCardFeatureBenefitYojanaKendra,YojanaCardFeatureBenefitHQHelpline,YojanaCardFeatureBenefitAssistedHQService,YojanaCardFeatureBenefitDigilocker,YojanaCardFeatureBenefitCashbackOffers,YojanaCardFeatureBenefitBankAccountInfo,YojanaCardFeatureBenefitOtherStatus,YojanaCardLoanInterestStatus,YojanaCardInsurance,YojanaCardUnmetNeedsHealthExpenses,YojanaCardUnmetNeedsChildrensEducation,YojanaCardUnmetNeedsMarriageSupport,YojanaCardUnmetNeedsBusinessSupport,YojanaCardUnmetNeedsNone,YojanaCardUnmetNeedsOther,YojanaCardInterestInPayingForYojanaCard,YojanaCardPriceComfortableToAvailYojanaCard,YojanaCardAcceptanceOfFreeYojanaCard
Maria,Brown,Female,48,727-8386-96,Senior Secondary,Production Engineer,Married,5,Mumbai,ST,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0
Alissa,Edwards,Female,50,413-2771-32,Graduation,Accountant,Married,0,Patna,ST,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0
Myra,Moore,Female,41,699-4784-15,Senior Secondary,Plumber,Married,0,Raipur,ST,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0
Andrew,Turner,Male,43,023-3773-78,Post graduation,Clerk,Married,3,Chennai,Prefer Not to say,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0
Dexter,Mitchell,Male,44,969-0508-81,Senior Secondary,Production Engineer,Married,4,Delhi,OBC,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1
Rubie,Johnston,Female,48,273-6843-18,Senior Secondary,Business,Single,0,Chennai,ST,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0
Roman,Phillips,Male,44,944-9226-94,Primary,Doctor,Single,4,Raipur,Prefer Not to say,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1
Fenton,Williams,Male,40,600-3082-91,Illiterate,Accountant,Single,0,Raipur,Prefer Not to say,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1
George,Grant,Male,47,956-0168-70,Primary,Architect,Married,0,Mumbai,Prefer Not to say,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1
Briony,Spencer,Female,48,784-1833-19,Primary,Lawyer,Married,2,Lucknow,General,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1
Justin,Cooper,Male,50,320-8111-42,Senior Secondary,Teaching faculty,Married,2,Chennai,SC,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1
Max,Owens,Male,50,058-7512-57,Graduation,Teaching faculty,Single,1,Raipur,General,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1
Victoria,Thompson,Female,42,598-8564-02,Primary,Lawyer,Married,0,Chennai,SC,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0
Elise,West,Female,42,602-6191-65,Secondary,Clerk,Married,0,Lucknow,SC,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1
Charlotte,West,Female,46,903-8142-81,Illiterate,Production Engineer,Married,5,Lucknow,SC,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1
Harold,Thomas,Male,48,556-3399-73,Post graduation,Plumber,Married,0,Bangalore,SC,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0,1
Alford,Higgins,Male,41,909-7372-33,Post graduation,Lawyer,Single,0,Raipur,General,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1
James,Baker,Male,47,993-6609-36,Senior Secondary,Production Engineer,Married,5,Bangalore,General,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1
Lenny,Murphy,Male,48,186-6273-18,Illiterate,Pharmacist,Single,2,Kolkata,OBC,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0
Leonardo,Harris,Male,48,194-7351-48,Illiterate,Plumber,Single,5,Mumbai,General,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
Victor,Riley,Male,49,109-2089-16,Primary,Clerk,Married,2,Mumbai,OBC,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0
Henry,Mason,Male,49,569-5265-45,Post graduation,Business,Single,2,Patna,ST,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1
Roman,Smith,Male,46,953-6365-83,Senior Secondary,Clerk,Single,4,Mumbai,OBC,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Rafael,Farrell,Male,44,993-6998-06,Graduation,Data Analyst,Married,4,Hyderabad,Prefer Not to say,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0
Connie,Hunt,Female,43,759-8641-70,Primary,Pharmacist,Single,2,Kochi,NT/DNT,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1
Maya,Morrison,Female,44,494-8012-49,Senior Secondary,Data Analyst,Single,1,Patna,ST,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0
Arthur,Tucker,Male,41,201-2436-88,Secondary,Software Developer,Married,1,Lucknow,NT/DNT,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0
Frederick,Johnston,Male,41,721-3126-88,Senior Secondary,Plumber,Single,5,Kolkata,SC,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0
Daniel,Ellis,Male,50,653-2706-91,Graduation,Software Developer,Single,5,Kolkata,OBC,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1
Adison,West,Male,41,338-9570-56,Secondary,Lawyer,Married,2,Patna,SC,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1
Miranda,Crawford,Female,46,114-9662-29,Secondary,Pharmacist,Single,2,Mumbai,NT/DNT,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0
Adison,Morris,Male,46,749-8644-63,Secondary,Production Engineer,Married,3,Raipur,NT/DNT,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
Oscar,Martin,Male,46,777-8884-58,Graduation,Clerk,Married,3,Kolkata,ST,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1
James,Foster,Male,40,750-6119-07,Secondary,Business,Single,3,Lucknow,OBC,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0
Tess,Stevens,Female,45,099-7651-77,Illiterate,Architect,Married,4,Hyderabad,Prefer Not to say,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1
Lily,Murphy,Female,42,843-6139-78,Post graduation,Mechanic,Married,0,Hyderabad,Prefer Not to say,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0
Naomi,Cameron,Female,46,666-6822-71,Graduation,Lawyer,Married,4,Delhi,SC,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1
Kevin,Harper,Male,50,528-6755-47,Illiterate,Plumber,Married,2,Patna,SC,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0
Edgar,Harper,Male,41,174-7041-88,Secondary,Business,Single,5,Hyderabad,General,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1
Walter,Brown,Male,46,425-6503-61,Graduation,Teaching faculty,Married,1,Lucknow,General,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1
Nicole,Ellis,Female,42,095-6173-88,Post graduation,Software Developer,Single,2,Delhi,General,0,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1
Adrian,Warren,Male,49,610-1995-90,Primary,Teaching faculty,Married,4,Mumbai,Prefer Not to say,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0
Savana,Grant,Female,45,706-2453-41,Post graduation,Lawyer,Married,0,Kochi,ST,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0
Andrew,Murphy,Male,50,994-2237-50,Post graduation,Clerk,Married,1,Lucknow,OBC,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0
Kirsten,Holmes,Female,43,929-5213-42,Graduation,Teaching faculty,Married,5,Raipur,NT/DNT,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1
Agata,Scott,Female,46,839-3455-42,Primary,Clerk,Single,4,Delhi,General,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0
Michelle,Ryan,Female,41,890-5385-06,Secondary,Accountant,Single,2,Mumbai,ST,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1
Eleanor,Miller,Female,48,977-3463-35,Senior Secondary,Pharmacist,Married,5,Kolkata,NT/DNT,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,1
Brianna,Cole,Female,49,034-6626-56,Senior Secondary,Lawyer,Single,3,Mumbai,SC,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1
Ted,Richards,Male,43,352-9957-91,Post graduation,Plumber,Married,1,Raipur,NT/DNT,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1
Henry,Mitchell,Male,42,279-3934-37,Senior Secondary,Accountant,Married,1,Lucknow,SC,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1
Alexander,Phillips,Male,49,610-1242-51,Post graduation,Civil Engineer,Single,1,Mumbai,General,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0
Lenny,Farrell,Male,49,643-8684-23,Illiterate,Mechanic,Single,1,Kochi,SC,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1
Lilianna,Brooks,Female,43,518-4032-28,Illiterate,Civil Engineer,Single,5,Bangalore,OBC,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1
Miller,Martin,Male,49,687-9550-11,Primary,Pharmacist,Married,0,Patna,Prefer Not to say,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1
Jasmine,Brooks,Female,40,659-1391-96,Illiterate,Data Analyst,Married,4,Raipur,NT/DNT,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0
Tony,Hill,Male,41,611-8559-31,Illiterate,Plumber,Married,4,Raipur,General,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0
Miller,Walker,Male,48,735-4579-27,Post graduation,Data Analyst,Married,1,Mumbai,Prefer Not to say,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1
Aida,Payne,Female,47,259-1748-99,Illiterate,Civil Engineer,Single,3,Chennai,OBC,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1
Alen,Harris,Male,46,550-2018-52,Primary,Plumber,Single,4,Delhi,OBC,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1
Sofia,Mason,Female,50,903-4221-48,Senior Secondary,Pharmacist,Married,4,Raipur,General,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
Mary,Hamilton,Female,41,065-3590-02,Illiterate,Architect,Single,1,Lucknow,OBC,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1
Miller,Allen,Male,41,589-1338-20,Illiterate,Pharmacist,Married,3,Patna,SC,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0
Tara,Harris,Female,42,427-5238-67,Primary,Clerk,Married,1,Lucknow,Prefer Not to say,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Derek,Riley,Male,43,469-2574-34,Illiterate,Pharmacist,Married,5,Raipur,General,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0
Mary,Richards,Female,48,333-2642-46,Illiterate,Software Developer,Married,5,Hyderabad,SC,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1
Sabrina,Thomas,Female,46,492-3537-64,Post graduation,Data Analyst,Single,4,Raipur,OBC,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1
Roland,Spencer,Male,48,910-5129-29,Illiterate,Pharmacist,Single,1,Delhi,General,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1
Ada,Montgomery,Female,43,179-8564-07,Illiterate,Mechanic,Married,4,Hyderabad,OBC,0,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1
Violet,Sullivan,Female,47,351-5289-37,Post graduation,Business,Married,5,Chennai,Prefer Not to say,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0
Chester,Turner,Male,48,793-5046-82,Post graduation,Clerk,Married,1,Lucknow,NT/DNT,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0
Alexia,Murphy,Female,45,330-2049-73,Post graduation,Business,Married,2,Delhi,Prefer Not to say,0,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
Frederick,Perry,Male,40,439-5251-17,Secondary,Software Developer,Single,1,Patna,Prefer Not to say,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
Alfred,Davis,Male,46,172-1390-12,Senior Secondary,Pharmacist,Married,4,Kolkata,OBC,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
Honey,Harper,Female,46,713-4400-14,Illiterate,Software Developer,Single,3,Kolkata,General,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0
Fenton,Richardson,Male,50,314-1462-66,Post graduation,Clerk,Married,2,Kolkata,OBC,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0
Emma,Andrews,Female,46,298-1410-03,Graduation,Lawyer,Married,1,Chennai,SC,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0
Adrian,Perry,Male,43,039-8182-00,Senior Secondary,Pharmacist,Married,0,Chennai,ST,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
Patrick,Chapman,Male,45,438-0233-48,Secondary,Business,Single,0,Mumbai,ST,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1
Gianna,Casey,Female,50,066-6078-61,Illiterate,Architect,Married,4,Lucknow,General,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1
Thomas,Harper,Male,50,450-9567-32,Post graduation,Plumber,Married,0,Kolkata,NT/DNT,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1
Gianna,Morrison,Female,45,461-1826-65,Illiterate,Pharmacist,Married,4,Patna,OBC,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0
Richard,Cunningham,Male,42,290-7018-92,Secondary,Teaching faculty,Single,0,Raipur,ST,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0
Sarah,Nelson,Female,44,308-3211-43,Graduation,Production Engineer,Married,2,Lucknow,OBC,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1
Jenna,Reed,Female,48,728-2930-90,Secondary,Production Engineer,Single,3,Patna,ST,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0
Chelsea,Taylor,Female,49,142-2755-93,Senior Secondary,Plumber,Single,5,Chennai,ST,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1
Adam,Sullivan,Male,44,303-4299-10,Senior Secondary,Lawyer,Single,3,Kochi,ST,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0
Honey,Alexander,Female,49,577-0788-27,Post graduation,Business,Married,4,Bangalore,SC,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0
Brad,Martin,Male,43,818-8742-05,Senior Secondary,Teaching faculty,Single,1,Chennai,OBC,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0
Melissa,Phillips,Female,41,807-7379-26,Senior Secondary,Data Analyst,Married,5,Mumbai,Prefer Not to say,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
Abraham,Murray,Male,46,554-7344-17,Primary,Business,Married,3,Kochi,General,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1
Lucy,Harrison,Female,45,566-3909-87,Illiterate,Business,Single,3,Hyderabad,ST,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1
Freddie,Ellis,Male,41,991-5375-92,Primary,Architect,Married,1,Chennai,Prefer Not to say,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,0,1,1,0
Dominik,Stewart,Male,42,270-3020-78,Graduation,Teaching faculty,Single,4,Patna,SC,1,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0
Cherry,Baker,Female,48,399-0238-52,Secondary,Business,Married,5,Lucknow,SC,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1
Amber,Murphy,Female,45,528-4037-85,Post graduation,Lawyer,Single,4,Patna,General,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1
Blake,Kelley,Male,43,608-4144-11,Senior Secondary,Accountant,Single,1,Kochi,ST,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0
Sabrina,Mason,Female,47,931-1152-57,Illiterate,Doctor,Single,1,Kolkata,OBC,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1
Cadie,Russell,Female,50,897-2814-42,Secondary,Clerk,Married,2,Mumbai,OBC,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
Vivian,Holmes,Female,46,096-5982-86,Post graduation,Production Engineer,Married,2,Mumbai,General,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
Aston,Jones,Male,45,435-2369-40,Post graduation,Business,Married,5,Chennai,General,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
Lenny,Jones,Male,48,368-2490-13,Primary,Police,Single,3,Delhi,General,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1
Edward,Roberts,Male,41,906-9541-63,Primary,Mechanic,Single,1,Mumbai,OBC,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
Dainton,Harris,Male,49,358-3016-56,Illiterate,Civil Engineer,Married,4,Patna,Prefer Not to say,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0
Kelsey,Wright,Female,45,556-9772-97,Graduation,Civil Engineer,Married,1,Mumbai,OBC,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0
Savana,Perkins,Female,44,148-1484-42,Primary,Business,Single,5,Kolkata,OBC,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0
Eric,Anderson,Male,42,922-0729-99,Post graduation,Pharmacist,Married,2,Lucknow,General,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
Maya,Carter,Female,43,562-3446-43,Illiterate,Business,Single,4,Delhi,ST,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0
Jasmine,Barnes,Female,48,632-9944-40,Primary,Plumber,Single,2,Kochi,SC,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0
Florrie,Roberts,Female,46,620-5253-16,Primary,Mechanic,Single,4,Mumbai,OBC,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1
Maddie,Robinson,Female,48,878-8296-31,Illiterate,Doctor,Single,0,Kolkata,OBC,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0
Roland,Martin,Male,50,146-5480-17,Primary,Mechanic,Married,5,Kolkata,NT/DNT,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1
Edwin,Hawkins,Male,41,560-4312-93,Senior Secondary,Pharmacist,Married,4,Lucknow,ST,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1
Aldus,Owens,Male,40,739-1786-88,Senior Secondary,Software Developer,Single,1,Patna,NT/DNT,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0
Lyndon,Morgan,Male,48,402-9379-25,Senior Secondary,Production Engineer,Single,2,Chennai,ST,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0
Emily,Alexander,Female,44,250-7428-16,Secondary,Clerk,Single,3,Kolkata,General,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1
Jordan,Stevens,Male,50,791-6386-76,Primary,Plumber,Married,1,Mumbai,Prefer Not to say,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0
George,Parker,Male,40,085-3198-38,Primary,Data Analyst,Married,1,Chennai,Prefer Not to say,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0
Edith,Ryan,Female,47,882-5475-82,Illiterate,Civil Engineer,Married,5,Delhi,ST,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1
Ellia,Barnes,Female,50,787-6896-64,Post graduation,Production Engineer,Single,1,Kochi,Prefer Not to say,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1
Leonardo,Gray,Male,49,765-1260-37,Primary,Business,Married,1,Kochi,SC,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
Natalie,Cunningham,Female,42,646-3273-77,Senior Secondary,Police,Single,5,Hyderabad,OBC,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0
Charlie,Wells,Male,48,199-6656-95,Illiterate,Business,Single,5,Bangalore,NT/DNT,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1
Chester,Wright,Male,47,488-1054-54,Primary,Teaching faculty,Married,0,Bangalore,General,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1
Miller,Morris,Male,43,390-3577-32,Secondary,Lawyer,Married,3,Bangalore,General,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0
Maya,Johnson,Female,42,982-1100-51,Senior Secondary,Civil Engineer,Married,4,Kolkata,Prefer Not to say,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0
